rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
180,True,0,6,0,107440151.53407972,767.4,0
181,True,5,1,0,93595432.83337145,315.0,0
182,True,6,0,0,45493772.36133407,425.38,-1
183,True,0,6,0,258530755.30609924,680.9,0
184,True,0,6,0,151833083.94700915,944.8,0
185,True,6,0,0,49253001.03633314,499.2,-1
186,True,0,6,0,148044704.13563982,446.364,0
187,True,5,1,0,28045717.490959186,217.0,1
188,True,0,6,0,358133470.2617835,778.88,0
189,True,1,5,0,64277839.17052973,258.0,2
190,True,1,5,0,184531873.71029952,1221.1,0
191,True,0,6,0,61037070.29266238,389.0,0
192,True,0,6,0,208834731.08885804,433.0,0
193,True,1,5,0,308372929.9645871,972.0,0
194,True,0,6,0,69968526.24629593,352.1,0
195,True,0,6,0,166546187.87979853,328.6,0
196,True,0,6,0,28890699.750193547,122.5,0
197,True,0,6,0,138698503.79617304,448.0,0
198,True,1,5,0,205915670.83808604,958.87,0
199,True,6,0,0,19688103.57520758,118.7,-1
200,True,0,6,0,137455736.64326328,522.95,0
201,True,6,0,0,38974351.508699544,219.61999999999998,-1
202,True,0,6,0,77697517.41171162,368.40000000000003,0
203,True,5,1,0,67050920.0958015,290.90000000000003,0
204,True,2,4,0,147057138.5789948,364.9,0
205,True,6,0,0,15314052.48890621,86.74,-1
206,True,5,1,0,47855274.71820844,353.30999999999995,1
207,True,6,0,0,71161183.77613775,508.0,-1
208,True,0,6,0,121459531.68984026,948.2,0
209,True,0,6,0,36728239.278159864,225.3,1
210,True,6,0,0,24801292.55505039,147.17000000000002,-1
211,True,0,6,0,282369821.79268456,1119.8,0
212,True,1,5,0,46179916.70410882,286.99,0
213,True,0,6,0,87797044.85988034,866.9000000000001,0
214,True,5,1,0,57608983.973637916,470.5,1
215,True,3,3,0,137192446.33220586,503.9,0
216,True,0,6,0,86884596.830942,282.1,0
217,True,0,6,0,275850460.2279208,721.13,0
218,True,5,1,0,84370036.59103042,1042.9,0
219,True,2,4,0,306771643.92769706,813.1099999999999,0
220,True,0,6,0,112119521.03401667,363.9,0
221,True,4,2,0,56852773.03822567,570.6,1
222,True,0,6,0,258985973.17608023,531.0,0
223,True,0,6,0,485102680.42288053,2431.4,0
224,True,0,6,0,34711074.76141561,324.975,1
225,True,0,6,0,257580551.90743658,620.0,0
226,True,6,0,0,21205402.844800808,275.0,-1
227,True,1,5,0,148300663.76717493,578.4,0
228,True,0,6,0,90183782.61041242,320.0,0
