regime,peak_k,cascade_mean,cascade_se,cascade_lo,cascade_hi
ON_unbounded,7,0.008967563936696807,0.0017196693735196528,0.005597011964598287,0.012338115908795326
W12_both,7,0.0058306112878065,0.0016482575809907483,0.0026000264290646337,0.009061196146548368
W12_local_only,7,0.005688657384831886,0.0015631853070130414,0.0026248141830863244,0.008752500586577446
W12_net_only,7,0.006704013133409238,0.0016375949960196097,0.0034943269412108027,0.009913699325607673
