k,OFF,ON_no_pool,ON_with_pool,cascade,cascade_se,cascade_pool,cascade_pool_se,cascade_lo,cascade_hi,cascade_pool_lo,cascade_pool_hi
1,0.04817959946540009,0.061138118456190486,0.05654156954875738,0.0129585189907904,0.004055021824353524,0.00836197008335726,0.0044040040115948765,0.005010676215057493,0.02090636176652331,-0.000269877779368698,0.01699381794608322
2,0.03537357264342224,0.03985174861097033,0.03936608059774057,0.0044781759675480625,0.003397081122525938,0.003992507954318304,0.0037559906066179064,-0.0021801030326027756,0.0111364549676989,-0.0033692336346527922,0.0113542495432894
3,0.01861270217855083,0.020113991861471146,0.021825712321276867,0.0015012896829203174,0.003047212209347824,0.003213010142726043,0.002701819807961579,-0.004471246247401417,0.0074738256132420525,-0.002082556680878652,0.008508576966330738
4,0.008916895185829376,0.014259212427354137,0.013491506455867462,0.0053423172415247595,0.0029230519473598345,0.004574611270038091,0.0025330474212482,-0.0003868645753005162,0.011071499058350035,-0.00039016167560838085,0.009539384215684562
5,0.006606831311357177,0.00845580604392006,0.011469366826744406,0.0018489747325628884,0.0020282561840224314,0.0048625355153872245,0.0023638547108007046,-0.0021264073881210772,0.005824356853246854,0.00022938028221784323,0.009495690748556607
6,0.0034538242412221276,0.009745502898155874,0.011114322261820953,0.006291678656933747,0.0020552583110118013,0.007660498020598825,0.0016260565435558128,0.0022633723673506165,0.010319984946516878,0.004473427195229432,0.010847568845968217
7,0.001415076614405709,0.01038264055110252,0.010670921190196043,0.008967563936696807,0.0017196693735196528,0.009255844575790331,0.0014386732073014769,0.005597011964598287,0.012338115908795326,0.0064360450894794365,0.012075644062101227
8,0.0017505057380416526,0.0038822912451140657,0.003300035891501176,0.0021317855070724133,0.0013047613637754136,0.0015495301534595243,0.0014671763759092928,-0.0004255467659273972,0.004689117780072223,-0.0013261355433226896,0.004425195850241738
