rho,n_seeds,k1_mean,k1_se,peak_beta_mean,peak_beta_se,peak_k_mode,did_mean,pre_trend_p_mean,shape_rmse_vs_emp
0.7,15,-0.12977465334310015,0.006678311343547218,0.05441256805439401,0.003953965178570921,4,-0.0921844511518127,0.3979098177875771,0.03552553197104884
0.75,15,-0.12189200787755762,0.009508759151583343,0.05257847848644629,0.0027947686962019585,4,-0.08812590084047449,0.545551111843686,0.033679868240481727
0.8,15,-0.1314748883524117,0.006528450037525604,0.05098168465630732,0.002764552601566478,6,-0.0849048068561717,0.6501422964698419,0.03674181987872478
0.85,15,-0.11320122104576821,0.006446800844524833,0.05325543487814851,0.0023817802776702063,5,-0.0721651435501269,0.511347436071541,0.03066505202047197
0.9,15,-0.10401173502765683,0.008573487155882914,0.050422258532305406,0.001665498201961924,7,-0.05981353330420393,0.7068572538898686,0.0266714585566561
0.95,15,-0.10074079040818336,0.00785197622776307,0.05036817258155738,0.00296201670670446,6,-0.05492153143379138,0.545855043267603,0.025865360338832404
