k,full_cascade_per_run_mean,full_cascade_per_run_se,prev_per_run_mean,prev_per_run_se,prev_per_year_pjm,prev_per_year_pjm_se,prev_per_year_pjm_lo,prev_per_year_pjm_hi,pct_cascade_captured
2,270.46666666666664,18.476249640180868,84.46666666666667,20.23129096473126,25.340000000000003,6.069387289419379,13.444000912738021,37.23599908726199,31.22997288636924
5,313.23333333333335,18.66028318601772,85.8,19.22255619491504,25.740000000000002,5.7667668584745115,14.43713695738996,37.042863042610044,27.3917207619453
10,338.4,15.579134291973876,89.1,16.73384278200538,26.73,5.020152834601614,16.890500444180837,36.569499555819164,26.329787234042556
20,355.53333333333336,20.98564004557891,110.63333333333334,21.845617321755462,33.190000000000005,6.553685196526639,20.344777014807793,46.03522298519222,31.117569848115508
50,337.1666666666667,16.261518169595256,79.4,13.738828272412846,23.82,4.121648481723854,15.741568975821247,31.898431024178755,23.54918437963421
100,361.73333333333335,19.783246908370423,112.03333333333333,20.10995540804131,33.61,6.032986622412392,21.78534622007171,45.43465377992829,30.97124953925544
200,352.46666666666664,18.791520057026784,91.1,22.649571816002965,27.33,6.794871544800889,14.012051772190254,40.64794822780974,25.846415736712693
