scale,regime,seed,total_wd,evaporated_U
0.2,ON_unbounded,129,4766,34812323947.4588
0.2,W12_both,100,4711,37344839618.55377
0.2,W12_both,101,4643,37699501006.62127
0.2,W12_both,102,4627,37994707455.122765
0.2,W12_both,103,4806,37123499937.34589
0.2,W12_both,104,4713,35587497100.969864
0.2,W12_both,105,4561,35682815795.38697
0.2,W12_both,106,4546,36862017174.75998
0.2,W12_both,107,4776,36731995692.733604
0.2,W12_both,108,4792,37975955049.24283
0.2,W12_both,109,4572,34382890682.84098
0.2,W12_both,110,4743,35316760072.528915
0.2,W12_both,111,4682,39122677851.22569
0.2,W12_both,112,4499,33926317610.249905
0.2,W12_both,113,4598,33533127531.96773
0.2,W12_both,114,4780,36642294727.55411
0.2,W12_both,115,4723,36681255247.89304
0.2,W12_both,116,4684,35244492345.215416
0.2,W12_both,117,4560,35044111260.30285
0.2,W12_both,118,4649,37809246851.65798
0.2,W12_both,119,4550,34851450882.00538
0.2,W12_both,120,4700,37834447490.04247
0.2,W12_both,121,4562,34578524956.32597
0.2,W12_both,122,4540,36946152603.49675
0.2,W12_both,123,4643,34007173609.505917
0.2,W12_both,124,4784,35137853069.26289
0.2,W12_both,125,4753,38034189724.09332
0.2,W12_both,126,4667,34608686459.01963
0.2,W12_both,127,4710,38123655642.11747
0.2,W12_both,128,4817,38195639042.31946
0.2,W12_both,129,4686,37521497580.99487
0.3,OFF,100,4332,0.0
0.3,OFF,101,4313,0.0
0.3,OFF,102,4309,0.0
0.3,OFF,103,4524,0.0
0.3,OFF,104,4474,0.0
0.3,OFF,105,4371,0.0
0.3,OFF,106,4351,0.0
0.3,OFF,107,4521,0.0
0.3,OFF,108,4466,0.0
0.3,OFF,109,4439,0.0
0.3,OFF,110,4441,0.0
0.3,OFF,111,4382,0.0
0.3,OFF,112,4370,0.0
0.3,OFF,113,4452,0.0
0.3,OFF,114,4475,0.0
0.3,OFF,115,4400,0.0
0.3,OFF,116,4443,0.0
0.3,OFF,117,4492,0.0
0.3,OFF,118,4317,0.0
0.3,OFF,119,4257,0.0
0.3,OFF,120,4314,0.0
0.3,OFF,121,4351,0.0
0.3,OFF,122,4330,0.0
0.3,OFF,123,4391,0.0
0.3,OFF,124,4406,0.0
0.3,OFF,125,4575,0.0
0.3,OFF,126,4490,0.0
0.3,OFF,127,4484,0.0
0.3,OFF,128,4328,0.0
0.3,OFF,129,4418,0.0
0.3,ON_unbounded,100,4812,38055007119.55476
0.3,ON_unbounded,101,4749,36405300992.47239
0.3,ON_unbounded,102,4749,35422232709.436104
0.3,ON_unbounded,103,4887,39053619710.51915
0.3,ON_unbounded,104,4745,36076266387.86986
0.3,ON_unbounded,105,4867,37968859275.09796
0.3,ON_unbounded,106,4676,35897018892.640854
0.3,ON_unbounded,107,4768,35324185603.363556
0.3,ON_unbounded,108,4679,34089009837.590965
0.3,ON_unbounded,109,4760,35978034775.97086
0.3,ON_unbounded,110,4733,35848194844.52722
0.3,ON_unbounded,111,4782,35764061055.02184
0.3,ON_unbounded,112,4786,35276016720.356346
0.3,ON_unbounded,113,4638,34597945961.40229
0.3,ON_unbounded,114,4854,36049820289.29629
0.3,ON_unbounded,115,4879,34532153539.40272
0.3,ON_unbounded,116,4669,35374891698.24983
0.3,ON_unbounded,117,4557,32746763374.40272
0.3,ON_unbounded,118,4797,38918050069.84008
0.3,ON_unbounded,119,4710,35295052940.3292
0.3,ON_unbounded,120,4781,36519950472.18508
0.3,ON_unbounded,121,4723,35043958072.39696
0.3,ON_unbounded,122,4750,36679906522.77211
0.3,ON_unbounded,123,4797,35503876029.19499
0.3,ON_unbounded,124,4799,36048038957.68489
0.3,ON_unbounded,125,4757,38122897164.34832
0.3,ON_unbounded,126,4686,34013476483.50839
0.3,ON_unbounded,127,4974,37897547988.159645
0.3,ON_unbounded,128,4804,37525715072.79166
0.3,ON_unbounded,129,4714,36358427736.28481
0.3,W12_both,100,4615,37371258599.52558
0.3,W12_both,101,4627,37129326472.99861
0.3,W12_both,102,4659,38456552916.57232
0.3,W12_both,103,4594,35341969797.481255
0.3,W12_both,104,4808,37975295921.106155
0.3,W12_both,105,4595,35907256795.48358
0.3,W12_both,106,4683,36073144629.91575
0.3,W12_both,107,4802,37359533935.8575
0.3,W12_both,108,4681,36221098547.31374
0.3,W12_both,109,4631,34718690703.87893
0.3,W12_both,110,4713,36882797801.434814
0.3,W12_both,111,4691,36184063625.98072
0.3,W12_both,112,4745,36182670030.69271
0.3,W12_both,113,4549,34821334569.99621
0.3,W12_both,114,4590,35223380630.94951
0.3,W12_both,115,4636,35037366929.74466
0.3,W12_both,116,4781,38756659068.50593
0.3,W12_both,117,4715,38488367847.95411
0.3,W12_both,118,4602,36377414190.433624
0.3,W12_both,119,4548,37119845089.615685
0.3,W12_both,120,4607,36672671281.373375
0.3,W12_both,121,4669,33115362370.48825
0.3,W12_both,122,4533,34774789884.22955
