alpha,k1,peak_k4_8,peak_at_k,pooled_did,elapsed_s
0.1,-0.10498560484412992,0.056940445790035446,6,-0.07493969596864898,55.88384795188904
0.15,-0.11041142210239326,0.04623657515677841,5,-0.05798936439604963,223.10615611076355
0.2,-0.07712631745894485,0.06021021670487461,5,-0.032231786265265225,190.74598670005798
0.25,-0.11586021505376007,0.06467596628886833,5,-0.06596919500145307,266.9935598373413
0.35,-0.15004006410256132,0.055488782051281466,5,-0.10594951923076923,89.31424498558044
