regime,seed,total_wd,total_deposited,total_absorbed,pool_residual,diff_k1,diff_k2,diff_k3,diff_k4,diff_k5,diff_k6,diff_k7,diff_k8
OFF,100,4332,0.0,0.0,0.0,0.012821114920396379,0.06434840871021777,0.028262899195430697,-0.011285239758112596,0.024329983249581244,-0.0022448307109317073,0.020100502512562814,0.006373780668046113
OFF,101,4313,0.0,0.0,0.0,0.03729670162638699,0.0480806750560921,-0.00390625,-0.01008750607681089,0.01715686274509804,0.004191531685137824,0.007352941176470588,0.0011140819964349374
OFF,102,4309,0.0,0.0,0.0,0.06979663036078965,-0.0105991368367606,0.0002340823970037459,0.031661469161469155,0.007736013986013986,-0.0034280936454849486,0.006814264167205344,0.004807692307692308
OFF,103,4524,0.0,0.0,0.0,0.05257895604848685,0.0009843144725979538,0.01905709023941068,-0.004007778593413953,-0.009135205647636587,-0.010500779147187986,0.019337016574585635,0.0025411509415107017
OFF,104,4474,0.0,0.0,0.0,0.03794227188081937,0.054076592988422,-0.016409546751405192,-0.013464496801878391,0.018673701634595488,0.00775076752730384,0.004281527612418719,-0.004807692307692308
OFF,105,4371,0.0,0.0,0.0,0.06842088687326783,0.045377241805813234,0.07142857142857142,0.00886159773643971,0.01311350986675662,0.012343647136273863,0.003520829819531118,-0.016581632653061222
OFF,106,4351,0.0,0.0,0.0,0.0518425108589043,0.008246777624827936,0.045415907710989675,-0.008859082629574428,0.020612021857923497,0.011697404371584699,0.0027988804478208708,0.0074648711943793924
OFF,107,4521,0.0,0.0,0.0,0.04457215836526183,0.05555555555555555,0.006073199183435407,0.0031250000000000028,0.015873015873015872,-0.00358187134502924,-0.005995599559955995,-0.015463917525773196
OFF,108,4466,0.0,0.0,0.0,0.008360957642725597,0.03497518494241034,0.009029056680990383,0.029328238756647904,-0.0031981715338068907,-0.0028084714548802948,0.0027624309392265192,0.011049723756906077
OFF,109,4439,0.0,0.0,0.0,0.0353544776119403,0.035061728395061734,0.029195402298850575,0.023952991452991453,-0.000572916666666666,0.012126436781609195,0.0012343358395989976,0.007635933806146572
OFF,110,4441,0.0,0.0,0.0,0.031133273569400863,0.07219679633867276,0.028903162055335968,0.01946169772256729,0.01887782744141948,0.011799843321582452,0.00872859025032938,-0.003911011783827712
OFF,111,4382,0.0,0.0,0.0,0.08331340666347839,0.0393403123961449,0.01143790849673202,-0.009759358288770049,0.0012928248222365893,0.010201377848436673,0.0035118525021949083,0.014705882352941176
OFF,112,4370,0.0,0.0,0.0,0.023998333146745272,-0.008762911653906906,0.0095955766192733,-0.007550900915829828,0.00466410892951177,0.007462376319946786,-0.016431924882629106,-0.008
OFF,113,4452,0.0,0.0,0.0,0.05358291965434823,0.028989816785609947,0.023855488141202426,0.03120248099239696,0.01301171356116411,0.006802721088435373,0.009630102040816328,-0.004604051565377532
OFF,114,4475,0.0,0.0,0.0,0.04083248730964468,0.018873071924274745,0.04479506023183574,0.006503807106598985,0.020649485877912273,0.014143309056131833,-0.001446427596746902,0.006128675539922993
OFF,115,4400,0.0,0.0,0.0,0.10158683800623053,0.016084558823529424,0.012936144986449863,-0.005843495934959352,0.006748023114355229,0.009083825459317586,0.007625,0.005208333333333333
OFF,116,4443,0.0,0.0,0.0,0.07303465055793272,0.048791629826112584,-0.006959410919540228,0.024397832930668426,0.002391421738795032,0.009344921035417248,0.005747126436781609,0.00494421906693712
OFF,117,4492,0.0,0.0,0.0,0.0429774925045395,0.04371186288585787,0.03790993535168957,-0.014869429112777,0.010689411972141408,0.005993736799941737,0.01138885309739581,0.0010251256281407035
OFF,118,4317,0.0,0.0,0.0,0.04404829277494812,0.031584215794742104,0.013609273639472085,-0.006433554041209544,0.006145306769749231,0.01687007373506229,-0.01565742312771175,0.005847953216374269
OFF,119,4257,0.0,0.0,0.0,0.055164709797024286,0.04573687629731742,0.025173526248900183,0.030713874496257912,-0.007705250787885262,0.0016670421266050915,-0.005522016764114021,0.0
OFF,120,4314,0.0,0.0,0.0,0.022567176413330253,0.058063652080746084,-0.001187914649453111,0.04149482995636841,0.0011960216542867934,-0.003355704697986577,0.03254437869822485,0.005917159763313609
OFF,121,4351,0.0,0.0,0.0,-0.007831839521980369,0.04499217527386541,0.06117157490396927,0.017029449423815624,0.004362431901349616,0.0010514475743348978,0.009811002768749248,0.000694019187589304
