alpha,regime,seed,total_wd
0.3,ON_unbounded,109,4716
0.3,ON_unbounded,110,4851
0.3,ON_unbounded,111,4789
0.3,ON_unbounded,112,4854
0.3,ON_unbounded,113,4637
0.3,ON_unbounded,114,4686
0.3,ON_unbounded,115,4757
0.3,ON_unbounded,116,4698
0.3,ON_unbounded,117,4774
0.3,ON_unbounded,118,4631
0.3,ON_unbounded,119,4640
0.3,ON_unbounded,120,4645
0.3,ON_unbounded,121,4615
0.3,ON_unbounded,122,4672
0.3,ON_unbounded,123,4791
0.3,ON_unbounded,124,4937
0.3,ON_unbounded,125,4659
0.3,ON_unbounded,126,4719
0.3,ON_unbounded,127,4830
0.3,ON_unbounded,128,4679
0.3,ON_unbounded,129,4680
0.3,W12_both,100,4599
0.3,W12_both,101,4632
0.3,W12_both,102,4723
0.3,W12_both,103,4678
0.3,W12_both,104,4731
0.3,W12_both,105,4598
0.3,W12_both,106,4582
0.3,W12_both,107,4684
0.3,W12_both,108,4775
0.3,W12_both,109,4549
0.3,W12_both,110,4686
0.3,W12_both,111,4630
0.3,W12_both,112,4666
0.3,W12_both,113,4591
0.3,W12_both,114,4661
0.3,W12_both,115,4674
0.3,W12_both,116,4684
0.3,W12_both,117,4583
0.3,W12_both,118,4594
0.3,W12_both,119,4526
0.3,W12_both,120,4697
0.3,W12_both,121,4704
0.3,W12_both,122,4632
0.3,W12_both,123,4749
0.3,W12_both,124,4832
0.3,W12_both,125,4730
0.3,W12_both,126,4544
0.3,W12_both,127,4774
0.3,W12_both,128,4613
0.3,W12_both,129,4562
