k,OFF,ON_unbounded,cascade_unbounded,cascade_unbounded_se,W=12_mean,cascade_W=12,cascade_W=12_se,W=18_mean,cascade_W=18,cascade_W=18_se,W=24_mean,cascade_W=24,cascade_W=24_se,W=36_mean,cascade_W=36,cascade_W=36_se,W=48_mean,cascade_W=48,cascade_W=48_se,W=60_mean,cascade_W=60,cascade_W=60_se,W=72_mean,cascade_W=72,cascade_W=72_se
1,0.04817959946540009,0.061138118456190486,0.0129585189907904,0.004055021824353524,0.05750594208758437,0.009326342622184267,0.003949138732736617,0.057392919754407114,0.009213320289007027,0.003953245799384701,0.06358958814810363,0.015409988682703536,0.004259678654905924,0.0627493772191068,0.014569777753706697,0.003905849192972123,0.06147623267144964,0.013296633206049546,0.0038874681278343068,0.06367987743366642,0.015500277968266318,0.004126340326972259,0.06238361605172497,0.014204016586324891,0.0037163026142026665
2,0.03537357264342224,0.03985174861097033,0.0044781759675480625,0.003397081122525938,0.0406452884943123,0.005271715850890045,0.003565252902971754,0.03904782289906404,0.0036742502556417877,0.0037445856695874744,0.04104516284015438,0.005671590196732129,0.0034352729000217187,0.04229341566816463,0.006919843024742373,0.003576640596671955,0.04161506368461475,0.0062414910411924904,0.003763642737102058,0.04210619612902053,0.006732623485598257,0.003543119962639378,0.0443952028765971,0.009021630233174838,0.003535411713710889
3,0.01861270217855083,0.020113991861471146,0.0015012896829203174,0.003047212209347824,0.017044850373555926,-0.0015678518049949007,0.003121518755976775,0.01951326804153587,0.0009005658629850389,0.0032029675399049174,0.023134314093108368,0.004521611914557537,0.0030126726592851548,0.022674939306733387,0.0040622371281825685,0.0028418143036687505,0.025219044722910054,0.0066063425443592325,0.00327102119138663,0.025869434325039277,0.007256732146488449,0.0032422421284751405,0.0218237451694981,0.0032110429909472746,0.003358649984864284
4,0.008916895185829376,0.014259212427354137,0.0053423172415247595,0.0029230519473598345,0.012228375261022339,0.0033114800751929564,0.002519545525962078,0.01211749446416253,0.003200599278333152,0.002633450771687295,0.010711481947014932,0.0017945867611855548,0.002809155787352133,0.013846840762578944,0.004929945576749561,0.002733199886402273,0.014479574040509188,0.00556267885467982,0.002649364199095042,0.01576429597416736,0.006847400788337985,0.0029920160830483066,0.014865207019280777,0.005948311833451398,0.00281119483389505
5,0.006606831311357177,0.00845580604392006,0.0018489747325628884,0.0020282561840224314,0.007088931016999963,0.00048209970564278937,0.0019208488984755491,0.011108191173605203,0.004501359862248028,0.0019252819485533704,0.013699362690746784,0.007092531379389608,0.001921481449576878,0.011096186047621907,0.004489354736264731,0.001985410604884424,0.010916289110033596,0.00430945779867642,0.0018807798355589857,0.008611998609093254,0.002005167297736076,0.0020685157888217028,0.010636182848993132,0.004029351537635958,0.002299329520047479
6,0.0034538242412221276,0.009745502898155874,0.006291678656933747,0.0020552583110118013,0.009443213308172296,0.005989389066950173,0.0015938256156516294,0.012306941081212133,0.008853116839990008,0.0016342729539622586,0.010494366392700731,0.0070405421514785965,0.0019194344453801544,0.008831571086423925,0.005377746845201803,0.0021510028142310137,0.010759820836230548,0.007305996595008419,0.0019563124609223636,0.00906915269155508,0.00561532845033295,0.0020747980838316496,0.009827770299903784,0.00637394605868165,0.0021524748825823155
7,0.001415076614405709,0.01038264055110252,0.008967563936696807,0.0017196693735196528,0.007245687902212215,0.0058306112878065,0.0016482575809907483,0.00683567292872279,0.00542059631431708,0.0016986998436852021,0.007226503114970916,0.005811426500565209,0.0017017335713335172,0.009376015356266372,0.007960938741860659,0.0018317401055374398,0.011013154235827261,0.009598077621421551,0.0020809397004168087,0.0105539880453137,0.009138911430907984,0.0017134367170554116,0.009179171544932299,0.007764094930526588,0.00179697857206209
8,0.0017505057380416526,0.0038822912451140657,0.0021317855070724133,0.0013047613637754136,0.0029069997480690567,0.0011564940100274041,0.0012350378321589741,0.004178226994031702,0.002427721255990051,0.0013891951398218377,0.004582841747510116,0.002832336009468461,0.0014161357707191138,0.005563113798978688,0.0038126080609370357,0.0015193789937320288,0.004627573497068206,0.0028770677590265526,0.0013048445278460987,0.006002344503518994,0.004251838765477339,0.001307188750702936,0.004836340116012817,0.0030858343779711656,0.001399215836078728
