depth_bin,n,n_events,peer_wd_rate_coef,se,p_value,odds_ratio
2,6422,3470,2.190316006133464,0.057861689994531895,0.0,8.938037143028438
3-4,4831,2738,2.7643738316324167,0.08912746608331144,3.2846791675342343e-211,15.869100150395635
5-9,3078,1682,3.4533693788796014,0.13774635253311174,1.0437191559713074e-138,31.606708073757762
10+,1765,881,4.276008117722628,0.24401879422265801,9.518707928464305e-69,71.95263949022038
