covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hr_ci_lower,hr_ci_upper
cumulative_peer_wd,-0.013113022153072112,0.9869725789503566,0.009987470559178051,-0.03268810474571521,0.006462060439570982,0.9678403773394206,1.0064829845989125,0.0,-1.3129472648128926,0.18920071870723817,2.4020105259066766,0.9869725789503566,0.9678400292040613,1.0064833466342749
mw1_log,-0.013873841213882672,0.986221956979753,0.01297914404620571,-0.039312496094603334,0.01156481366683799,0.9614502127601954,1.0116319446606308,0.0,-1.068933449269986,0.28509965833497514,1.8104617845442654,0.986221956979753,0.9614497633305499,1.0116324175479348
q_year,0.0019276757333293521,1.001929534894624,0.0001658644282197845,0.0016025874277022455,0.0022527640389564587,1.001603872257193,1.0022553034183803,0.0,11.621996072449106,3.186042048478418e-31,101.3080056342398,1.001929534894624,1.0016038662739282,1.0022553094055364
type_Gas,-0.5838598464744728,0.5577414102671683,0.0739537250468468,-0.7288064840888702,-0.4389132088600753,0.48248449950909894,0.6447367346377172,0.0,-7.894934921866617,2.9046676027722023e-15,48.290548345832015,0.5577414102671683,0.48248321442423936,0.6447384518817402
type_Other,-0.29278992667621134,0.7461788765103679,0.07509377125406727,-0.4399710137974724,-0.14560883955495027,0.6440550895238403,0.8644957936159046,0.0,-3.8989908455337177,9.65944261217104e-05,13.33770053215188,0.7461788765103679,0.6440533476555624,0.8644981316796764
type_Solar,0.05247362762913634,1.0538747685358085,0.051646812765625646,-0.04875226530777343,0.1536995205660461,0.9524170472188853,1.1661404329117946,0.0,1.016009020096996,0.3096250912074514,1.6914057064354464,1.0538747685358085,0.952415275645092,1.1661426020326422
type_Solar+Battery,-0.15382097179657284,0.857425510620302,0.06778560609314292,-0.2866783184093518,-0.020963625183793855,0.7507531934790833,0.9792545841271448,0.0,-2.269227652625992,0.023254485484074584,5.426347169834185,0.857425510620302,0.750751360645191,0.9792569748134426
type_Wind,-0.3429692175476516,0.7096600563008563,0.07134701624296345,-0.4828067997882542,-0.20313163530704897,0.6170490258606576,0.8161707974605272,0.0,-4.807057612328346,1.531678622088685e-06,19.31645494762085,0.7096600563008563,0.6170474402962293,0.8161728946921165
entity_ERCOT,-0.8619706612048758,0.42232899435542304,0.08706715818644786,-1.0326191554865654,-0.6913221669231862,0.3560731272907474,0.5009133399938482,0.0,-9.900066559643873,4.1599809038083166e-23,74.34776927664976,0.42232899435542304,0.35607201073129374,0.5009149107422036
entity_ISO-NE,-0.26271543078127113,0.7689606887214562,0.0897934688481903,-0.43870739577064344,-0.08672346579189885,0.6448694435530907,0.916930623260793,0.0,-2.925774381491287,0.003436000278350519,8.185054131312922,0.7689606887214562,0.6448673580789392,0.9169335885762017
entity_PJM,-0.010275690069438423,0.9897769244626728,0.046458351330728766,-0.10133238545877529,0.08078100531989846,0.9036326286177971,1.0841334511097502,0.0,-0.22118068711236882,0.8249517463319382,0.27761836021202707,0.9897769244626728,0.9036311166438769,1.0841352651038392
entity_PSCo,0.5975824273144064,1.8177190162906451,0.08181131640718607,0.4372351936285108,0.7579296610003019,1.5484202128017663,2.1338538433349887,0.0,7.3043981390075325,2.785105629952341e-13,41.707333188225874,1.8177190162906451,1.5484156504313937,2.133860130685257
entity_SOCO,0.7969894133404065,2.2188508202910757,0.060744487372573236,0.6779324058308149,0.9160464208499981,1.9698007703443143,2.4993892970433773,0.0,13.120357876297685,2.5174330649740248e-39,128.22324228110946,2.2188508202910757,1.969796460935807,2.4993947650649293
