min_depth,n_subjects,n_events,n_intervals,hazard_ratio,hr_ci_lower,hr_ci_upper,p_value
>=2,7926,3930,11234,1.011385828945857,0.9948728567245758,1.0281728846841802,0.17766640994546987
>=3,4734,2340,7598,1.0232618265530011,1.0053852944723762,1.0414562172704955,0.010549310997140305
>=5,2240,1085,4371,1.0285222581150364,1.007591752337116,1.049887549182836,0.007340376249057845
