depth_bin,sim_mean,sim_sd,sim_median,real_coef,pct_sim_exceeds_real
2,0.5500992128386815,0.06846766492138658,0.5526855062360305,2.190316006133464,0.0
3-4,1.0904193895999088,0.1056110513575147,1.0903642599800794,2.7643738316324167,0.0
5-9,1.861527458037114,0.16224834586970993,1.8638070154985713,3.4533693788796014,0.0
10+,3.041354395375816,0.24670312167318786,3.0612656879377877,4.276008117722628,0.0
