2,3-4,5-9,10+
0.5791755920706957,0.9120986157029994,1.920274420958471,3.1247630033219393
0.39425496295071305,1.0911871639266923,1.8294256528911472,3.2097620057617604
0.4716479972806085,1.1639195834358218,1.9754178984660575,3.2608410590962094
0.5218805707253817,1.1703986196489402,1.6821592350692618,2.9493752815235728
0.48282004203060197,1.1772507249581028,1.9137429815122466,3.23213327070764
0.4938773908089421,1.2265109480206118,1.937916935840937,3.259774044071045
0.5288129771371584,0.8593840175515322,1.8510882624548886,2.801632569484966
0.6212320085282227,1.1930268192936542,2.032004810254205,3.0566898095417945
0.5462988609229145,1.0180163876138189,1.6318368793855667,3.1499943436721987
0.5664903472331921,1.196475265281021,1.8480111462036435,2.7617232175499917
0.6821432347172961,0.9631522558556767,1.9460433951323015,3.1215281524197525
0.4237746905966915,0.9978729250182724,1.961708410642132,2.5538777179276533
0.6362428971029765,1.0320744634799868,2.089581110226403,2.9826470394119715
0.6593507858435417,1.1316743816940624,2.1944119940836475,3.2315295286893364
0.5232256883395067,1.001315584517127,1.8513683538575616,2.6731997663966314
0.5667357048818348,1.2862748150042949,2.005273057320256,3.3065894810105925
0.561604986491358,0.9594285765837784,1.9463914312435937,2.8990127705137816
0.5517126480536485,1.2645055100551874,1.7458457002562928,3.134170241592472
0.5643705558674998,1.0294323014056816,2.1819839973987856,3.1844431292224864
0.46455868222322844,1.0938367015688983,1.6203469053250934,3.0506612615036963
0.5763249040129967,1.2338076018380073,1.735736802316208,2.868061164768051
0.5148433106934643,1.1596463577056422,1.976076332515949,2.773194450391705
0.6468214335363346,1.1122252085283681,1.926308290409393,2.867322521687064
0.40018023097009014,1.2452559752157146,1.8315827524189723,3.010796753742393
0.6643724526868716,1.1170609987657962,1.8175258424343408,2.8479124983760644
0.569156755342423,1.077529251529308,2.1538221778782076,3.229077246348376
0.5838832709648247,1.2547153946703478,2.003604861807108,3.2758540116849693
0.4449619885034364,1.1925240673199848,1.8583840620098324,3.0673766656612718
0.49414855579587874,1.0612651518559268,1.8151134694959943,2.5774588018689184
0.5960878507770683,0.9448312857601934,1.9468402798956845,3.367026495578228
0.6086344550583744,1.1036025821843196,1.5072895024478898,3.2064045834355124
0.6334399300387784,1.4891188818625598,1.6222791721147536,3.0411026285099476
0.6177926017543531,1.2099004094013133,1.6959976375044212,2.2709239102333747
0.4683978216914055,1.116215571178339,2.028244056420885,2.596789993702884
0.5366696234894939,1.082727408742281,1.760847851227899,3.207052072646556
0.4958105664968276,1.0330234277960681,1.6221824163852006,2.9309004395531377
0.5216103837416137,1.122235852844888,1.8888100608272835,2.808006159928689
0.5522456898412864,1.0527376019115577,2.0393875898225224,3.076307271584225
0.570277077035167,1.068531476253838,1.8856261268954801,3.0688814067645542
0.6312433632240356,1.1464409545558734,1.8122937609559062,3.1502793166622802
0.4497189377490925,0.9796818491165202,1.8786641425545345,3.254187946284961
0.5778288758690497,1.1560163166631592,2.0354859763307833,2.8392560147928583
0.46146800973622665,1.182706360210271,1.9454272556227274,2.8486982192961015
0.5803392722296544,1.0781395598677515,2.037839339713326,3.1803825752003823
0.5637434250474092,1.0900695705960943,2.0712448064540063,2.835485559554543
0.552694178201793,0.9855170929231369,1.7925661259942676,3.271064656443551
0.5500131416394438,1.1554801938160735,1.9324324663653412,3.3780925264665256
0.610908770631666,1.0632932589817292,2.1119153072702797,3.1509115603401567
0.6558141416526339,1.213135968107009,2.1294701659419033,3.0038773523607794
0.4446366704557314,1.1961220862081026,1.7759147571591183,3.3193480635973684
0.5235547675636938,1.2929110011041685,1.791114753408807,3.1118743895066534
