lag_months,lag_days,hazard_ratio,hr_ci_lower,hr_ci_upper,p_value,n_intervals,n_subjects
0,0,1.011385828945857,0.9948728567245758,1.0281728846841802,0.17766640994546987,11234,7926
6,183,0.9968372082325546,0.978950575509915,1.0150506517648084,0.7316637536719353,10995,7926
12,365,0.9869725789503566,0.9678400292040613,1.0064833466342749,0.18920071870723817,10769,7926
