covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hr_ci_lower,hr_ci_upper
cumulative_peer_wd,0.028123071213638336,1.0285222581150364,0.010489791430744471,0.007563457804042287,0.048682684623234385,1.0075921329999744,1.0498871525409978,0.0,2.6809943171236545,0.007340376249057845,7.0899302708118475,1.0285222581150364,1.007591752337116,1.049887549182836
mw1_log,0.07428964977873001,1.0771187475239556,0.02733967795523508,0.02070486563754559,0.12787443391991443,1.020920698390431,1.1364102991512521,0.0,2.7172832796483184,0.006582024548155845,7.247252877550075,1.0771187475239556,1.0209196931402613,1.1364114181194271
q_year,0.0016900993706194464,1.0016915283935108,0.0001947670585030369,0.0013083629505786884,0.0020718357906602046,1.0013092192307849,1.0020739835254269,0.0,8.6775422066206,4.044131562556544e-18,57.77887577661673,1.0016915283935108,1.001309212206976,1.0020739905546006
type_Coal,0.4557225860546012,1.577312715523516,0.2765253330911458,-0.08625710761698663,0.997702279726189,0.9173583410798767,2.7120431473087128,0.0,1.6480319577244302,0.09934611345552842,3.3313926612339744,1.577312715523516,0.9173492049820529,2.7120701571882235
type_Gas,-0.152291982452337,0.8587375078488076,0.14581423124223084,-0.4380826241205046,0.1334986592158306,0.6452724655847238,1.1428197338594746,0.0,-1.0444246844421181,0.2962889480008535,1.7549232821613572,0.8587375078488076,0.6452690769022904,1.142825735469183
type_Other,0.08221511162720024,1.0856893291105112,0.16575075510215756,-0.24265039878334715,0.40708062203774764,0.7845457439797713,1.5024252293628197,0.0,0.4960165133276672,0.6198827602677057,0.689932713540078,1.0856893291105112,0.7845410605775724,1.5024341982517364
type_Solar,0.22059630397156443,1.246819992673747,0.10373220194586491,0.017284924120633482,0.4239076838224954,1.017435172852503,1.5279205354898087,0.0,2.1265942478179323,0.03345381085263128,4.901685626589979,1.246819992673747,1.0174313717594792,1.5279262437550047
type_Solar+Battery,-0.18722201956837858,0.8292596040863005,0.12181633627734033,-0.42597765140058563,0.05153361226382849,0.6531309385192806,1.0528845755315075,0.0,-1.5369204598480828,0.124312788572064,3.0079533748408926,0.8292596040863005,0.6531280730628923,1.0528891948320052
type_Wind,-0.027898576881291035,0.9724869944634822,0.13629689195300362,-0.29503557631392524,0.23923842255134314,0.744505100247588,1.2702813642057125,0.0,-0.20468975103930256,0.8378145283586104,0.25529719300664644,0.9724869944634822,0.744501445633456,1.2702875997721474
entity_ERCOT,-0.3573135481396331,0.6995531197643544,0.17981414160125458,-0.7097427895890775,-0.004884306690188689,0.4917706697313168,0.9951276021390526,0.0,-1.9871270688597504,0.04690831724437388,4.414012442228853,0.6995531197643544,0.49176748499099715,0.9951340466948526
entity_ISO-NE,0.13539460723536245,1.1449885159699789,0.24784231869786782,-0.3503674112573565,0.6211566257280814,0.7044292269390874,1.8610793697469592,0.0,0.5462933366130069,0.5848643158751979,0.7738261257786403,1.1449885159699789,0.7044229391226124,1.8610959821042126
entity_PJM,0.031017090769725447,1.0315031329183912,0.08798745287404572,-0.14143514795481943,0.20346932949427032,0.8681114725638254,1.2256475658340396,0.0,0.35251720281216115,0.7244504194588238,0.46504113809138936,1.0315031329183912,0.8681087216022862,1.2256514498052868
entity_PSCo,0.5544477386002115,1.7409792435981828,0.1224095551945677,0.31452941905529086,0.7943660581451321,1.3696146447316673,2.213037614849344,0.0,4.529448193149033,5.913793221385586e-06,17.367484769507623,1.7409792435981828,1.3696086066119566,2.213047371349105
entity_SOCO,0.7991087941877729,2.2235583970346435,0.11035581991893784,0.5828153616622669,1.015402226713279,1.7910738598263196,2.760473510289918,0.0,7.24120209314525,4.4472513186532204e-13,41.032151298392115,2.2235583970346435,1.7910667411894476,2.760484481856785
