depth_tolerance,n_pairs,k0_beta,pre_trend_p
0,939,6.22223626789431e-16,0.6182524344468334
1,976,2.962040335230398e-16,0.7065092161723487
2,995,1.4471930598336513e-15,0.7065048234815856
