pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
425,PJM||oak grove saunders dp 230 kv,PJM||bear peak antrim 345 kv,2023Q1,1,1,PJM,Solar,1
426,PJM||clubhouse purdy 115 kv,PJM||lone pine 115 kv,2024Q3,5,5,PJM,Solar,1
427,PJM||hegins,PJM||belmont brighton,2008Q4,1,1,PJM,Other,1
428,PJM||wattsville 12 kv,PJM||bergen 26 kv,2020Q2,1,1,PJM,Battery,1
429,CAISO||border substation 69 kv,CAISO||julian hinds substation 230 kv,2008Q4,2,1,CAISO,Battery,1
430,PJM||portland 230 kv,PJM||burches hill 230 kv,2000Q4,1,1,PJM,Gas,1
431,PJM||mount holly 26 kv,PJM||andover 12 kv,2011Q2,1,1,PJM,Solar,1
432,PJM||kerr dam ridge road 115 kv,PJM||bennett farmingdale 345 kv,2024Q2,1,1,PJM,Battery,1
433,SOCO||goat rock substation 230 kv bus,SOCO||s bessemer to snowdoun 500 kv line,2008Q3,3,2,SOCO,Gas,1
434,PJM||cedarville ford 138 kv,PJM||bergen 345 kv,2020Q4,1,1,PJM,Battery,1
435,CAISO||imperial valley 230 kv substation,CAISO||antelope rosamond 66 kv line,2011Q2,1,1,CAISO,Solar,2
436,CAISO||escondido substation 69 kv,CAISO||avocado 69 kv,2024Q3,1,1,CAISO,Battery,1
437,PJM||todd 25 kv,PJM||boykins handsome 115 kv,2017Q1,1,1,PJM,Solar,1
438,ISO-NE||nstar chelsea substation,ISO-NE||cl&p 276 kv distribution system/norwalk 115 kv,2007Q4,1,1,ISO-NE,Oil,1
439,PJM||andover kittatinny 345 kv,PJM||bellefonte 12 kv,2011Q2,1,1,PJM,Solar,1
440,PJM||carville 138 kv,PJM||bellefonte 46 kv,2021Q2,1,1,PJM,Solar,1
441,PJM||carlls corner,PJM||barbados,2008Q1,1,1,PJM,Gas,1
442,PJM||ford cedarville 138 kv,PJM||belvidere marengo 138 kv,2024Q4,1,1,PJM,Solar,1
443,ISO-NE||waterside 115 kv,ISO-NE||115 kv line 875 539 to nstar 875 substation,2010Q3,1,1,ISO-NE,Gas+Oil,1
444,CAISO||bay boulevard 230 kv,CAISO||caliente 230 kv,2020Q3,1,1,CAISO,Battery,1
445,PJM||centerburg 138 kv,PJM||louisa north anna 230 kv,2024Q4,4,4,PJM,Solar,2
446,PJM||landstown 230 kv,PJM||bethelboro 138 kv,2024Q2,1,1,PJM,Battery,1
447,PJM||lycoming lock haven 69 kv,PJM||camden crystal 69 kv,2023Q3,2,2,PJM,Solar,2
448,ERCOT||tap 138 kv 8510 falfurrias 8695 crestonio,ERCOT||23908 deaf smith station 345 kv this inr has a 600 mw pun load at the medium voltage side of the mpts for a total of 1800 mw pun load (refer to the substation sld),2023Q4,2,2,ERCOT,Solar,1
449,SOCO||eaton lucedale 115 kv line,SOCO||hatch vidalia 230 kv line,2022Q4,2,2,SOCO,Solar,1
450,PJM||passyunk 230 kv,PJM||burches hill 500 kv,2002Q2,1,1,PJM,Gas,1
451,PJM||shenango hoytdale 345 kv,PJM||aldene 230 kv,2013Q2,1,1,PJM,Gas,1
452,PJM||huron 69 kv,PJM||dumont olive 345 kv,2016Q2,2,2,PJM,Gas,1
453,PJM||electric junction nelson 345 kv,PJM||belleville 46 kv,2023Q4,1,1,PJM,Solar,1
454,PJM||ladysmith ct 230 kv,PJM||beaver 138 kv,2022Q2,2,2,PJM,Gas,1
455,PJM||ontelaunee 230 kv,PJM||bayonne 345 kv,2017Q2,1,1,PJM,Gas,1
456,ERCOT||1440 comanche 345 kv,ERCOT||4 iola 138 kv,2021Q2,2,2,ERCOT,Solar,1
457,PJM||nelson 345 kv,PJM||bergen 230 kv,2011Q1,1,1,PJM,Gas,1
458,PJM||union city 345 kv,PJM||effort mountain gilbert 138 kv,2021Q1,3,3,PJM,Solar,1
459,SOCO||carriere poplarville 115 kv line,SOCO||bremen sewell creek 230 kv line,2021Q2,1,1,SOCO,Solar,1
460,PJM||east lima marysville 345 kv,PJM||germantown 115 kv,2019Q4,3,3,PJM,Solar,1
461,PJM||heritage 500 kv,PJM||dorothy lewis 138 kv,2024Q4,2,2,PJM,Battery,2
462,PJM||clubhouse 230 kv,PJM||bedford north wills mounain 115 kv,2019Q1,1,1,PJM,Solar+Battery,1
463,CAISO||whirlwind substation 220 kv,CAISO||arco 230 kv,2019Q4,2,3,CAISO,Solar+Battery,1
464,ISO-NE||cmp 115 kv,ISO-NE||345 kv circuit from psnh peniwagewassett substat,2011Q2,1,1,ISO-NE,Other,1
465,PJM||mcconnellsburg 138 kv,PJM||brandy remington 115 kv,2017Q4,1,1,PJM,Solar,1
466,PSCo||boone comanche 230 kv,PSCo||boone comanche 230 kv line,2020Q1,1,1,PSCo,Solar,2
467,PJM||nelson lee county 345 kv,PJM||gretna mount airy 69 kv,2024Q2,3,3,PJM,Battery,1
468,PJM||chavies bonnyman 69 kv,PJM||branchville sussex #1 34 kv,2020Q1,1,1,PJM,Battery,1
469,PJM||crescent ridge,PJM||albright garrett 138 kv,2018Q3,1,1,PJM,Wind,1
470,CAISO||helm kerman 70 kv line,CAISO||230/138/69 kv south bay (650 mw cc),2008Q4,1,1,CAISO,Gas,1
471,CAISO||midway wheeler ridge #1 & #2 230 kv,CAISO||arco substation 69 kv bus,2012Q1,1,1,CAISO,Solar,1
472,PJM||keystone 345 kv,PJM||aquasco 230 kv,2012Q1,1,1,PJM,Gas,1
473,PJM||kankakee 138 kv,PJM||mendota 345 kv,2010Q3,2,2,PJM,Wind,1
474,PJM||clinton stuart 345 kv,PJM||belle haven tasley 69 kv,2020Q1,1,1,PJM,Solar,1
475,CAISO||mendota dairyland 115 kv,CAISO||barrett cameron 69 kv line,2012Q3,1,1,CAISO,Solar,1
476,PJM||crystal hill perth 115 kv,PJM||benner 12 kv,2021Q1,1,1,PJM,Solar,1
477,PJM||morgan street cochranton 345 kv,PJM||benn's church smithfield 345 kv,2024Q4,1,1,PJM,Solar,1
478,PJM||east lima south kenton 138 kv,PJM||powerton dresden 345 kv,2010Q3,2,2,PJM,Wind,1
479,PJM||cordova 345 kv,PJM||crown new lebanon 69 kv,2024Q4,3,3,PJM,Solar,1
480,CAISO||kramer substation 230 kv,CAISO||calcite substation 220 kv,2014Q1,1,1,CAISO,Solar+Battery,1
481,PJM||sussex county 12 kv,PJM||bennett 12 kv,2013Q4,1,1,PJM,Solar,2
482,CAISO||kelso 230 kv,CAISO||bear mountain 115 kv,2024Q2,1,1,CAISO,Battery,1
483,PJM||brink 115 kv,PJM||belleville 1247 kv,2020Q1,1,1,PJM,Solar,1
484,SOCO||sun hill wadley primary 230 kv line,SOCO||bartlett's ferry west point 115 kv line,2024Q2,1,1,SOCO,Solar,1
485,SOCO||autaugaville substation 230 kv bus,SOCO||ellicott north brewton 230 kv line,2020Q1,1,1,SOCO,Gas,1
486,SOCO||butler ds substation 230 kv bus,SOCO||blakely primary webb 115 kv line,2024Q2,1,1,SOCO,Solar,1
487,PJM||white,PJM||bennett farmingdale 34 kv,2011Q4,1,1,PJM,Solar,1
488,PJM||lincoln 132 kv,PJM||berlin 69 kv,2011Q1,1,1,PJM,Solar,1
489,PJM||sorenson desoto 345 kv,PJM||jeffersonville south charleston 69 kv,2021Q1,3,3,PJM,Solar+Battery,1
490,PJM||loretto wilton center,PJM||williams 138 kv,2019Q2,2,2,PJM,Wind,1
491,CAISO||laguna bell substation 230 kv,CAISO||pittsburg 230 kv,2022Q4,3,3,CAISO,Battery,1
492,CAISO||arco substation 70 kv bus,CAISO||gates coalinga #1 70 kv,2011Q1,4,4,CAISO,Solar,1
493,PJM||clubhouse sapony 230 kv,PJM||carbondale 138 kv,2024Q2,2,2,PJM,Solar,1
494,PJM||hopewell 345 kv,PJM||edwards kewanee east 138 kv,2024Q4,2,2,PJM,Battery,1
495,CAISO||delaney colorado river 500 kv line,CAISO||calcite substation 220 kv bus,2021Q1,2,1,CAISO,Solar+Battery,1
496,CAISO||crescent switching station 70 kv,CAISO||blackwell substation 70 kv,2017Q2,1,1,CAISO,Solar,1
497,CAISO||windhub substation 220 kv bus,CAISO||east county (eco) substation 230 kv,2010Q4,2,2,CAISO,Wind,1
498,PJM||cromby 230 kv,PJM||burlington,2002Q2,1,1,PJM,Gas,1
499,PJM||west manchester 69 kv,PJM||bentley farms 69 kv,2024Q3,1,1,PJM,Solar,1
500,PJM||deans 500 kv,PJM||cardiff 230 kv ii,2024Q4,1,1,PJM,Offshore Wind,1
501,PSCo||ault substation,PSCo||calumet substation,2010Q4,3,2,PSCo,Wind,1
