pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
34,treated,ERCOT||8189 tungsten 138 kv,1,0,346.0,2022.0,Solar,1
34,control,ERCOT||#1058 longshore_5 345 kv,1,0,401.6,2024.0,Solar,1
35,treated,PJM||kincaid 345 kv,1,0,600.0,2009.0,Coal,1
35,control,PJM||brunner island #1,1,0,14.0,2001.0,Coal,1
36,treated,PJM||cedar 69 kv,1,0,0.12,2003.0,Battery,1
36,control,PJM||airey vienna 69 kv ii,1,0,25.0,2020.0,Battery,1
37,treated,ERCOT||68090 sam switch 345 kv,1,0,202.0,2018.0,Wind,1
37,control,ERCOT||11305 dermott 345 kv,1,0,242.6,2015.0,Wind,1
38,treated,PJM||madison tanners creek 138 kv,3,0,118.06666666666666,2011.6666666666667,Wind,1
38,control,PJM||brokaw lanesville,3,0,95.43333333333334,2012.6666666666667,Wind,1
39,treated,PJM||lumberton 13 kv,1,0,11.0,2010.0,Solar,1
39,control,PJM||alpha gilbert 34 kv,1,0,12.0,2011.0,Solar,1
40,treated,PJM||tazewell ab1 122 345 kv,1,0,66.95,2023.0,Wind,1
40,control,PJM||baker 138 kv,1,0,80.0,2017.0,Wind,1
41,treated,PJM||campbell kiesters 138 kv,1,0,20.3,2023.0,Solar,1
41,control,PJM||allegheny somerset 115 kv ii,1,0,20.0,2021.0,Solar,1
42,treated,PJM||branchville holiday lakes 345 kv,2,0,13.5,2010.0,Solar,1
42,control,PJM||broadway stewartsville 345 kv,2,0,9.4,2010.0,Solar,1
43,treated,SOCO||greenville snowdoun 230 kv line,1,0,80.0,2018.0,Solar,1
43,control,SOCO||barneyville douglas 115 kv line,1,0,100.0,2017.0,Solar,1
44,treated,PJM||titusville oil creek 345 kv,1,0,10.0,2020.0,Solar,1
44,control,PJM||allenwood larrabee 2 345 kv,1,0,3.05,2023.0,Solar,1
45,treated,PJM||arnold's corner dahlgren 230 kv,1,0,100.0,2019.0,Battery,1
45,control,PJM||allenwood larrabee 345 kv ii,1,0,0.7,2021.0,Battery,1
46,treated,PJM||atlantic 230 kv,1,0,24.0,2000.0,Gas,1
46,control,PJM||9th st (substation 117) 13 kv,1,0,10.0,2000.0,Gas,1
47,treated,PJM||ladysmith ct st johns 230 kv,1,0,120.0,2018.0,Solar,1
47,control,PJM||almena valley 69 kv,1,0,40.0,2021.0,Solar,1
48,treated,PJM||rogers road 500 kv,2,0,77.0,2022.0,Battery,2
48,control,PJM||baker broadford 765 kv,2,0,450.0,2021.0,Battery,2
49,treated,CAISO||elk creek 60 kv tap,1,0,20.0,2010.0,Solar,1
49,control,CAISO||antelope neenach 66 kv line,1,0,20.0,2009.0,Solar,1
50,treated,PJM||linden 230 kv,1,0,61.0,2013.0,Gas,1
50,control,PJM||adkins 345 kv,1,0,30.0,2013.0,Gas,1
51,treated,PJM||birdsboro 69 kv,1,0,10.0,2001.0,Gas,1
51,control,PJM||bergen 138 kv,1,0,51.1,,Gas,1
52,treated,CAISO||arco substation 70 kv,2,0,40.0,2014.0,Solar,1
52,control,CAISO||eldorado ivanpah 230 kv line,2,0,125.0,2008.5,Solar,2
53,treated,ERCOT||tap 345 kv 8905 n edinb 8455 lon hill,3,0,286.46666666666664,2016.6666666666667,Wind,1
53,control,ERCOT||71050 bitter creek 345 kv,3,0,64.23333333333333,2017.0,Wind,1
54,treated,PJM||branchville sussex 34 kv,1,0,6.0,2011.0,Battery,1
54,control,PJM||beckjord 2 mw 1,1,0,2.0,2013.0,Battery,1
55,treated,PJM||olive reynolds 345 kv,2,0,200.0,2018.0,Solar,2
55,control,PJM||beatty london 138 kv,2,0,98.0,2016.5,Solar,1
56,treated,CAISO||imperial valley substation 230 kv bus,1,0,300.0,2005.0,Solar,1
56,control,CAISO||antelope magunden 230 kv,1,0,231.0,2007.0,Solar,1
57,treated,PJM||stockton 345 kv,1,0,20.0,2016.0,Solar,1
57,control,PJM||alta haute tuscarora 69 kv,1,0,20.0,2020.0,Solar,1
58,treated,ERCOT||1338 eskota 138 kv,1,0,6.4,2017.0,Solar,1
58,control,ERCOT||110471 formosa 138 kv,1,0,206.31,2020.0,Solar,1
59,treated,PJM||biers run circleville 138 kv,4,0,96.0,2017.25,Solar,1
59,control,PJM||hardin switch 345 kv,4,0,113.75,2018.0,Solar,2
60,treated,PJM||edgemoor 230 kv,1,0,10.0,2001.0,Gas,1
60,control,PJM||black oak 500 kv,1,0,500.0,2001.0,Gas,1
61,treated,ERCOT||tap 138 kv 177 bosque 181 cayote,1,0,112.0,2017.0,Solar,1
61,control,ERCOT||1032 morgan creek 138 kv,1,0,200.0,2016.0,Solar,1
