,control,treated,std_diff
depth,1.4262295081967213,1.4569672131147542,0.03471377786003002
pre_wd_count,0.005122950819672131,0.007172131147540984,0.022676130109995488
mean_mw,142.58916786310053,163.12158437670217,0.09144044411277245
mean_q_year,2015.6163675554415,2015.3251605413948,-0.04643654037665076
n_types,1.0881147540983607,1.1219262295081966,0.10280869492992789
